Time (s),Cart Position (m),Cart Velocity (m/s),Pole Angle (rad),Pole Angular Velocity (rad/s),Control Input (N),Q0,Q1,Q2,Q3,R
1740036674.7520,0.0040,-0.0671,-0.0082,0.0853,0.3982,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.7621,0.0034,-0.0996,-0.0073,0.1326,2.2947,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.7721,0.0025,-0.0772,-0.0062,0.0977,1.3200,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.7821,0.0019,-0.0646,-0.0055,0.0778,0.7747,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.7921,0.0013,-0.0539,-0.0049,0.0609,0.3254,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.8020,0.0008,-0.0924,-0.0042,0.1177,2.5132,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.8121,0.0005,-0.0852,-0.0039,0.1067,2.1993,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.8221,-0.0004,-0.0803,-0.0028,0.0984,2.1636,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.8320,-0.0013,-0.0779,-0.0016,0.0941,2.3161,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.8421,-0.0018,-0.0628,-0.0010,0.0712,1.6408,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.8521,-0.0024,-0.0449,-0.0004,0.0439,0.8180,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.8621,-0.0029,-0.0935,0.0001,0.1168,3.5463,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.8721,-0.0040,-0.0884,0.0015,0.1087,3.6432,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.8820,-0.0048,-0.1104,0.0025,0.1418,5.0750,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.8920,-0.0057,-0.0664,0.0035,0.0758,2.9998,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.9021,-0.0063,-0.0965,0.0042,0.1214,4.8115,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.9124,-0.0069,-0.0633,0.0050,0.0719,3.2470,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.9221,-0.0074,-0.0344,0.0054,0.0292,1.8555,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.9321,-0.0089,-0.2714,0.0075,0.3852,15.1446,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.9421,-0.0106,-0.1677,0.0099,0.2299,10.2428,11.1111,0.2500,25.0000,0.2500,0.0044
